gid,건물1,건물2,건물3,도서관,민원행정기관,변압기,전기안전관리자,전기차,교통량,경제인구,주차면수,총점,Rank
다사86bb66aa,0.263157895,0,0,0.090909091,0,0.008130081,0.033333333,0,0.007692299,0.007181943,0,0.755103445,1070
다사70aa56ab,0.065789474,0,0,0,0,0,0.1,0,0,0.078317373,0,0.588213694,1320
다사73aa60ab,0.052631579,0,0,0.054545455,0,0,0,0,0.000151794,0,0,0.1601122,2523
다사74aa72aa,0.171052632,0,0,0.327272727,0,0.020325203,0,0,0.39015062,0.074555404,0,1.61911524,471
다사74bb66ba,0.197368421,0,0,0.054545455,0,0.012195122,0.033333333,0,8.23E-05,0.004445964,0,0.570533884,1344
다사87bb64ab,0,0,0,0.109090909,0,0,0.066666667,0,0,0,0,0.309090909,1963
다사74ba55ba,0.026315789,0,0,0,0,0,0,0,0,0.002051984,0,0.056735546,3122
다사72ba56ab,0.144736842,0,0,0.090909091,0,0.008130081,0.033333333,0,0.210725939,0.005813953,0,0.921592641,896
다사67ba63ab,0.026315789,0,0,0.054545455,0,0,0,0,0.058268679,0.44630643,0,1.116327251,743
다사84ab59ba,0.092105263,0,0,0.072727273,0,0.004065041,0.033333333,0,0.000127874,0.002735978,0,0.366730543,1790
다사65bb61aa,0.065789474,0,0,0.145454545,0,0,0.033333333,0,0.021312826,0.504445964,0.101604278,1.428551074,556
다사88aa64ab,0,0,0,0.163636364,0,0,0.033333333,0,2.24E-07,0.008549932,0,0.280736674,2074
다사78ba62aa,0.092105263,0,0,0.254545455,0,0.004065041,0.033333333,0.038461538,0.000114907,0.14500684,0,0.909987592,910
다사82ab62bb,0.131578947,0,0,0.272727273,0,0.032520325,0,0,0.028493408,0.080369357,0,0.786131022,1033
다사72bb73aa,0.223684211,0,0,0.181818182,0,0.008130081,0.033333333,0,0.006555076,0.005813953,0,0.762054743,1065
다사75ab53ab,0.197368421,0,0,0.581818182,0,0.028455285,0.266666667,0,0.042259022,0.41997264,0,2.729473633,165
다사75aa67bb,0.105263158,0,0,0,0,0,0,0,0,0.003077975,0,0.216682267,2279
다사67ba71aa,0.105263158,0,0,0.218181818,0,0.008130081,0,0,0.002258575,0.003419973,0,0.448195311,1579
다사81ba62bb,0.105263158,0,0,0.236363636,0,0.012195122,0,0,0.045817792,0.002051984,0,0.554824625,1372
다사75bb57aa,0.039473684,0,0,0.145454545,0,0.012195122,0,0,0.000314541,0.006155951,0,0.24953802,2174
다사71ba61ba,0.118421053,0.142857143,0,0.272727273,0.666666667,0.004065041,0.2,0,0.037629648,0.082079343,0.235294118,2.448290496,210
다사69bb67ab,0.171052632,0,0,0.109090909,0,0.032520325,0,0,0.001666155,0.002735978,0,0.492520763,1485
다사75ab73aa,0.342105263,0,0,0,0,0.020325203,0.066666667,0,0,0.004103967,0,0.912743664,902
다사84bb66aa,0.144736842,0,0,0.072727273,0,0.016260163,0,0,0.00041693,0.004103967,0,0.387502914,1740
다사72ba62ab,0.065789474,0,0,0,0,0.004065041,0,0,0,0.005471956,0,0.1465879,2595
